"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k",
9,dq-f[k-,dzkld.Vªh,,vkj{kh fo'kky ;kno,"60oha jk""Vªh; dzkld.Vªh izfr;ksfxrk",jkaph,2026-01-24T00:00:00,2026,"iq:""k Vhe pS-",jtr,
10,dq-f[k-,okVjLiksVZ~l,232330584,vkj{kh fo'kky dqekj,"36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,1000मी.C1,Lo.kZ,
11,dq-f[k-,okVjLiksVZ~l,232330584,vkj{kh fo'kky dqekj,"36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026, 500 मी.C2,Lo.kZ,
12,dq-f[k-,okVjLiksVZ~l,"232510881
232510953","vkj{kh vHk;
vkj{kh iznhi dqekj","36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,1000 मी. C2,jtr,
13,dq-f[k-,okVjLiksVZ~l,"234240470
232330601
190721163
232510937","vk- nhikU'kw Hkkjrh;
vk- jkSud
vk- c`teksgu ;kno
vk- g""kZ","36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,K4 1000मी.,dkaL;,
14,dq-f[k-,okVjLiksVZ~l,232510083,vkj{kh fufru flag,"36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,500 मी. C2 (मिक्स),jtr,
15,dq-f[k-,okVjLiksVZ~l,232032220,vk- vfHkeU;q iVsy,"36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,500 मी. K2,dkaL;,
16,dq-f[k-,okVjLiksVZ~l,"232510881
232510201","vk- vHk;
vk- fiz;ka'kq ukxj","36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,C2 500 मी.,jtr,
17,dq-f[k-,okVjLiksVZ~l,"234240470
232330601
232510184
232510937","vk- nhikU'kw Hkkjrh;
vk- jkSud
vk- vfHkuo
vk- g""kZ dqekj","36oha jk""Vªh; dSuks fLçaV pkSfEi;uf'ki çfr;ksfxrk",yksoj ysd Hkksiky e/; izns'k,02-02-2026 ls 05-02-2026,2026,500 मी. K4,jtr,
18,,dq'rh,,e-vk- fiz;ka'kh iztkir,lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,50fdxzk-,Lo.kZ,
19,,dq'rh,,e-vk- papy fljksgh,vk;ksftr lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,50fdxzk-,dkaL;,
20,,dq'rh,,e-vk- yoyhu dkSj,vk;ksftr lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,65fdxzk-,dkaL;,
21,,dq'rh,,vk- fo'kky lkguh,vk;ksftr lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,57fdxzk-,dkaL;,
22,,dq'rh,,"vk- vk;q""k dqekj",lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,65fdxzk-,jtr,
23,,dq'rh,,vk- vafdr,lhfu;j us'kuy QsMjs'ku di,xkft;kckn,12-02-2026 ls 15-02-2026,2026,67fdxzk-,Lo.kZ,
24,,HkkjksRrksyu,,e-vk- jk/kk lksuh,lhfu;j us'kuy HkkjksÙkksyu pkSfEi;uf'ki ,eksnhuxj] xkft;kckn,04-02-2026 ls 14-02-2026,2026,48fdxzk-,jtr,
25,,HkkjksRrksyu,,e-vk- dksey [kku,lhfu;j us'kuy HkkjksÙkksyu pkSfEi;uf'ki ,eksnhuxj] xkft;kckn,04-02-2026 ls 14-02-2026,2026,77fdxzk-,dkaL;,
26,,",FkysfVDl",,e-vk- js'kek iVsy,13oha vksiu us'kuy okWd jsl izfr;ksfxrk,p.Mhx<+,21-02-2026 ls 22-02-2026,2026,10fdeh okWdjsl,Lo.kZ,
27,,",FkysfVDl",,e-vk- dqekj lyksuh ukxj,"izFke us”kuy bUMksj ,FkysfVDl pSfEi;uf”ki",Hkqous'oj,2026-03-26T00:00:00,2026,400eh-,Lo.kZ,31 ekpZ rd
28,,ikojfyf¶Vax,,efgyk vk- jtuh,lhfu;j Dykfld ikojfyf¶Vax pSfEi;uf'ki,eSaxyksj dukZVd,24-03-2026 ls 28-03-2026,2026,,Lo.kZ,futh O;;
