,,,,,,,,,,
"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
10,dq-f[k-,vkpZjh,234240336,Js; Hkkj}kt,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,fjdoZ jkm.M 70eh-,Lo.kZ
11,lkekU;,vkpZjh,160450846,t;nhi dq'kokgk,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,bf.M;u jkm.M 50eh-,jtr
12,dq-f[k-,vkpZjh,232030064,nhfidk ik.Ms;,44osa twfu;j us”kuy xsEl ,Hkkyiqj] ia- caxky,10-02-2025 ls 17-02-2025 ,2025,feDl Vhe bosUV,dkaL;
13,dq-f[k-,vkpZjh,232030064,nhfidk ik.Ms;,44osa twfu;j us”kuy xsEl ,Hkkyiqj] ia- caxky,10-02-2025 ls 17-02-2025 ,2025,Vhe bosUV,dkaL;
14,lkekU;,;ksxk,,vkj{kh fd'ku dqekj feJk ,r`rh; us'kuy ;ksxklu LiksVZ~l pSfEi;uf'ki 2022&23,jktLFkku,19-3-23 ls 21-03-2023,2023,,Lo.kZ
15,dq-f[k-,कुश्ती,234103599,पुष्पा यादव,37वें नेशनल गेम्स 2023 ,,25-10-2023 ls 9-11-2023,2023,,jtr
16,dq-f[k-,कुश्ती,232330597,शुभम,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,dkaL;
17,dq-f[k-,कुश्ती,232290170,आयुष कुमार,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,dkaL;
18,dq-f[k-,कुश्ती,232031810,तेजवीर सिंह यादव,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,jtr
19,dq-f[k-,कुश्ती,232031924,अजीत कुमार,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,jtr
20,dq-f[k-,कुश्ती,232330672,चंचल सिरोही,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,dkaL;
21,dq-f[k-,कुश्ती,234103599,पुष्पा यादव,lhfu;j us'kuy dq'rh pSfEi;uf'ki,"iw.ks egkjk""Vª",29-01-2024 ls 31-01-2024,2024,,dkaL;
22,dq-f[k-,dq'rh,232330597, 'kqHke,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,70 fdxzk,Lo.kZ
23,dq-f[k-,dq'rh,232031810,rstohj flag,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,74 fdxzk,jtr
24,dq-f[k-,dq'rh,232032073,ekulh ;kno,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,55 fdxzk,jtr
25,dq-f[k-,dq'rh,232330672,papy fljksgh,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,50 fdxzk,dkaL;
26,dq-f[k-,dq'rh,&,vthr dqekj,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,60 fdxzk,jtr
27,dq-f[k-,dq'rh,&,Hkksyw ;kno,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",okjk.klh,23-04-2024 ls 26-04-2024,2024,67 fdxzk,jtr
28,dq-f[k-,dq'rh,232032073,ekulh ;kno,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",jksgrd] gfj;k.kk,16-08-2024 ls 18-08-2024 ,2024,57fdxzk HkkxjoxZ,dkaL;
29,dq-f[k-,dq'rh,234240438,fo'kky lkguh,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",jksgrd] gfj;k.kk,16-08-2024 ls 18-08-2024 ,2024,61fdxzk HkkjoxZ,dkaL;
30,dq-f[k-,dq'rh,234100255,vuwi ;kno,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",jksgrd] gfj;k.kk,16-08-2024 ls 18-08-2024 ,2024,60fdxzk-,dkaL;
31,dq-f[k-,dq'rh,232510168,vafdr,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",jksgrd] gfj;k.kk,16-08-2024 ls 18-08-2024 ,2024,63fdxzk-,dkaL;
32,dq-f[k-,dq'rh,232510168,lfpu,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",jksgrd] gfj;k.kk,16-08-2024 ls 18-08-2024 ,2024,67fdxzk,jtr
33,dq-f[k-,dq'rh,232010150,fiz;ka'kh iztkifr,lhfu;j us'kuy dq'rh QsMjs'ku di,iatkc,08-03-2025 ls 09-03-2025,2025,53fdxzk,Lo.kZ
34,dq-f[k-,dq'rh,232330630,nh{kk rksej,lhfu;j us'kuy dq'rh QsMjs'ku di,iatkc,08-03-2025 ls 09-03-2025,2025,59fdxzk,dkaL;
35,dq-f[k-,dq'rh,232510168,vafdr,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,67fdxzk-,dkaL;
36,dq-f[k-,dq'rh,232330672,papy fljksgh,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,50fdxzk-,jtr
37,dq-f[k-,dq'rh,,fiz;ka'kh iztkifr,"jk""Vªh; iq-@e- dq'rh izfr;ksfxrk v.Mj&20",,27-03-2024 ls 30-03-2024,2024,&,Lo.kZ
38,dq-f[k-,वुशू,232510546,प्रेरणा,37वें नेशनल गेम्स 2023 ,,25-10-2023 ls 09-11-2023,2023,60kg sanda,dkaL;
39,dq-f[k-,वुशू,,fiz;adk,37वें नेशनल गेम्स 2023 ,,25-10-2023 ls 09-11-2023,2023,gunshu (taolla),jtr
40,dq-f[k-,वुशू,232330236,रवि सूर्यवंशी,37वें नेशनल गेम्स 2023 ,,25-10-2023 ls 09-11-2023,2023,nandou (taolu),jtr
41,dq-f[k-,oq'kw,232330236,jfo lw;Zoa”kh,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,uuDoku,Lo.kZ
42,dq-f[k-,oq'kw,232330236,jfo lw;Zoa”kh,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,uuxqu,jtr
43,dq-f[k-,oq'kw,232330252,eksfgr Fkkik,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,uuDoku,dkaL;
44,dq-f[k-,oq'kw,232010075,Jqfr ljoS;k,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,70 fdxzk,Lo.kZ
45,dq-f[k-,oq'kw,232030224,lwjt ;kno,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,70 fdxzk,Lo.kZ
46,dq-f[k-,oq'kw,232510490,veu,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,75 fdxzk,dkaL;
47,dq-f[k-,oq'kw,232290125,fiz;adk,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",nsgjknwu,21-09-2024 ls 26-9-2024,2024,xqu'kw,jtr
48,dq-f[k-,oq'kw,232330252,eksfgr Fkkik,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,rkmyw,jtr
49,dq-f[k-,oq'kw,232030224,lwjt ;kno,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,lk.Mk,Lo.kZ
50,dq-f[k-,oq'kw,232010075,Jqfr ljoS;k,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,lk.Mk,Lo.kZ
51,dq-f[k-,oq'kw,232510546,izsj.kk,38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,lk.Mk,Lo.kZ
52,dq-f[k-,oq'kw,232330236,jfo lw;Zoa”kh,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,¼rkvksyw½,Lo.kZ
53,dq-f[k-,oq'kw,232510676,_’kHk ukxj,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,lkaMk,Lo.kZ
54,dq-f[k-,oq'kw,232510751,fpUVw ukxj,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,lkaMk,Lo.kZ
55,dq-f[k-,oq'kw,232010075,Jqfr ljoS;k,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,lkaMk,Lo.kZ
56,dq-f[k-,oq'kw,232290125, fiz;adk,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,¼rkvksyw½,jtr
57,dq-f[k-,oq'kw,232290125, fiz;adk,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,t;iqj] jktLFkku ,14-06-2025 ls 19-06-2025 ,2025,¼rkvksyw½,dkaL;
58,dq-f[k-,oq'kw,232290125,fiza;dk,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,cgrjkbZ fcyklqij,24-03-2025 ls 28-03-2025,2025,nkvks'kw ¼rkvksyw½,jtr
59,dq-f[k-,oq'kw,232290125,fiza;dk,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,cgrjkbZ fcyklqij,24-03-2025 ls 28-03-2025,2025,xqu'kw ¼rkvksyw½,jtr
60,dq-f[k-,वाटर स्पोर्ट्स,232010118,बलवीर जाट,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023 ,,17-12-2023 ls 19-12-2023,2023,के-2 5000मी०,jtr
61,dq-f[k-,वाटर स्पोर्ट्स,232510139,अजयवीर सिंह,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-4 500मी०,jtr
62,dq-f[k-,वाटर स्पोर्ट्स,,प्रदीप कुमार,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-4 1000मी०,dkaL;
63,dq-f[k-,वाटर स्पोर्ट्स,,प्रदीप कुमार,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-2 5000मी०,jtr
64,dq-f[k-,वाटर स्पोर्ट्स,232330584,विशाल कुमार,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-2 5000मी०,jtr
65,dq-f[k-,वाटर स्पोर्ट्स,232330584,विशाल कुमार,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-4 1000मी०,dkaL;
66,dq-f[k-,वाटर स्पोर्ट्स,232330379,प्रशान्त तोमर,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-4 1000मी०,dkaL;
67,dq-f[k-,वाटर स्पोर्ट्स,232330555,विक्रान्त डबास,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,C-4 1000मी०,dkaL;
68,dq-f[k-,वाटर स्पोर्ट्स,,सत्यम बालियान,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,,17-12-2023 ls 19-12-2023,2023,के-2 5000मी०,jtr
69,dq-f[k-,वाटर स्पोर्ट्स,,सुखदीप सिंह,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,रोर्इग–4 2000m,Lo.kZ
70,dq-f[k-,वाटर स्पोर्ट्स,,आदित्य सिंह,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,रोर्इग–4 2000m,Lo.kZ
71,dq-f[k-,वाटर स्पोर्ट्स,,लोकेश,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,डबल स्कल 2000m,Lo.kZ
72,dq-f[k-,वाटर स्पोर्ट्स,,शोभित पाण्डेय,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,डबल स्कल 2000m,dkaL;
73,dq-f[k-,वाटर स्पोर्ट्स,,करनबीर सिंह बिन्दर,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,डबल स्कल 2000m,dkaL;
74,dq-f[k-,वाटर स्पोर्ट्स,,करनबीर सिंह बिन्दर,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,,28-1-2024 ls 03-02-2024,2024,मिक्स डबल 500m,dkaL;
75,कु.खि.,वाटरस्पोर्ट्स,"232510881
232510953","अभय
प्रदीप कुमार",35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"टेहरी, उत्तराखण्ड",10.12.2024 से 13.12.2024 तक,2024,"C-2, 1000मीटर",dkaL;
76,कु.खि.,वाटरस्पोर्ट्स,"232510881
232510953","अभय
प्रदीप कुमार",35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"टेहरी, उत्तराखण्ड",10.12.2024 से 13.12.2024 तक,2024,"C-2, 5000मीटर",jtr
77,कु.खि.,वाटरस्पोर्ट्स,"232290372
232010118","सत्यम बालियान
बलवीर जाट",35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"टेहरी, उत्तराखण्ड",10.12.2024 से 13.12.2024 तक,2024,"K-2, 500मीटर",jtr
78,dq-f[k-,okVjLiksVZ~l,232290343,djuohj flag fHkUMj,42oha lhfu;j us”kuy jksbZx izfr;ksfxrk,Hkksiky,fnuakd 03-03-2025 ls 07-03-2025 ,2025,Mcy Ldy 2000eh-,Lo.kZ
79,dq-f[k-,okVjLiksVZ~l,"232510881
232510953","vHk;
iznhi dqekj",38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,500eh- lh&2,dkaL;
80,dq-f[k-,बाक्सिंग,232510458,रिंकी शर्मा,7th Elite women national Boxing champinship,f'kykax es?kky;,25-11-2023 ls 1-12-2023,2023,-,dkaL;
81,dq-f[k-,",FkysfVDl",,fiz;adk fldjokj,1st National Open Relay Carnival 2024 ,p.Mhx<,2024-03-24T00:00:00,2024,flYoj 4x100eh fjys esa jtr ind izkIr fd;k,jtr
82,dq-f[k-,",FkysfVDl","232030123
232290301
234100529","eerk iky
mtkyk
uhrw dqekj",59oha us'kuy ØkWld.Vªh pSfEi;uf'ki,esjB,12-01-2025,2025,Vhe pSfEif'ki,dkaL;
83,dq-f[k-,",FkysfVDl",,lfpu ;kno,bf.M;u xzSaM fizDl lhtu&3 izfr;ksfxrk,cSaxyksj,12-06-204,2024,82-69eh- tScfyu Fkzks,Lo.kZ
84,dq-f[k-,",FkysfVDl",,lfpu ;kno,"63oha us'kuy vksiu ,FkysfVDl pSfEi;uf'ki",cSaxyksj,30-08-2024 ls 03-09-2024,2024,tsofyu Fkzks,jtr
85,dq-f[k-,",FkysfVDl",,js'kek iVsy,"vaMj 23 vksiu us'kuy ,FkysfVDl pSfEi;uf'ki ¼vuqefr ugha yh x;h½",fcgkj,28-09-2024 ls 30-09-2024,2024,okWd pky,Lo.kZ
86,lkekU;,",FkysfVDl",,QkStnkj flag,"44oha us'kuy ekLVlZ ,FkysfVDl pSfEi;uf'ki 2024","iw.ks egkjk""Vª",13-2-2024 ls 17-2-2024 ,2024,&,Lo.kZ
87,dq-f[k-,",FkysfVDl",232330164,lfpu ;kno,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,tsofyu Fkzks,Lo.kZ
88,dq-f[k-,",FkysfVDl",,lfpu ;kno,"28oha QsMjs'ku di lhfu;j ,FkysfVDl izfr;ksfxrk",dksPph dsjy,21-04-2025 ls 24-04-2025,2025,tsofyu Fkzks,Lo.kZ
89,dq-f[k-,",FkysfVDl",,"lq""kek",fjys dkfuZoky izfr;ksfxrk,p.Mhx<,2025-04-30T00:00:00,2025,4x4eh- fjys,dkaL;
90,dq-f[k-, 'kwfVax,,गौरव शर्मा,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,25 मी. रैपिड फायर पिस्टल मैन (व्यक्तिगत),dkaL;
91,dq-f[k-, 'kwfVax,,गौरव शर्मा,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,25 मी. रैपिड फायर पिस्टल मैन ( टीम ),Lo.kZ
92,dq-f[k-, 'kwfVax,,गौरव शर्मा,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,"25 मी. रैपिड फायर पिस्टल जूनियर मैन 
( व्यक्तिगत )",Lo.kZ
93,dq-f[k-, 'kwfVax,,गौरव शर्मा,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,"25 मी. रैपिड फायर पिस्टल जूनियर मैन  
( टीम )",Lo.kZ
94,dq-f[k-, 'kwfVax,,गौरव शर्मा,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,25 मी.स्टैन्डर्ड पिस्टल जूनियर मैन ( टीम ),jtr
95,dq-f[k-, 'kwfVax,,मनीषा पाल,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,,19.11.2023 से 09.12.2023 तक,2023,"50 मी. पिस्टल वोमैन 
( टीम )",Lo.kZ
96,dq-f[k-, 'kwfVax,232650181,"euh""kk iky",22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,Hkksiky e-iz-,1-06-2024 ls 19-06-2024,2024,50eh- Qzh fiLVy,Lo.kZ
97,dq-f[k-, 'kwfVax,232290457,usgk,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,Hkksiky e-iz-,1-06-2024 ls 19-06-2024,2024,50eh- Qzh fiLVy,jtr
98,dq-f[k-, 'kwfVax,,"e- vkj{kh euh’kk iky o 
e-vkj{kh usgk ",22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,Hkksiky e-iz-,1-06-2024 ls 19-06-2024,2024,50eh- Qzh fiLVy Vhe bosUV,Lo.kZ
99,कु.खि.,शूटिंग,"232510432
232031878","अमन रावल 
शशांक त्रिपाठी ",67वीं ओपन राष्ट्रीय शूटिंग (राइफल) प्रतियोगिता ,भोपाल म.प्र. ,,2024,50मीटर राइफल प्रोन पोजीशन (टीम इवेन्ट),dkaL;
100,dq-f[k-, 'kwfVax,,xkSjo 'kekZ,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,Hkksiky e-iz-,1-06-2024 ls 19-06-2024,2024,25eh- jSfiM Qk;j fiLVy bosUV,dkaL;
101,कु.खि.,शूटिंग,"232290473
232330409","निशान्त तोमर
आलोक गोयल",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,25मीटर रैपिड फायर पिस्टल (टीम ईवेन्ट),jtr
102,कु.खि.,शूटिंग,232290499,vadqj,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2025,10eh- Qzh fiLVy Vhe,jtr
103,dq-f[k-, 'kwfVax,"232510126
232650165","vueksy vjksMk
ekuosUnz pkS/kjh",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,25eh LVSMMZ fiLVy,Lo.kZ
104,dq-f[k-, 'kwfVax,"232510360
232570386","vk'kh""k dqekj MksMoky
xkSjo 'kekZ",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,25eh- lsUVj Qk;j fiLVy,Lo.kZ
105,dq-f[k-, 'kwfVax,"232510126
232330409","vueksy vjksMk
vkyksd xks;y",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,25eh- lsUVj Qk;j fiLVy,jtr
106,dq-f[k-, 'kwfVax,234130115,vYdqe fu'kk,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,50eh- Qzh jkbQy izksu iksth'ku,jtr
107,dq-f[k-, 'kwfVax,"232290457
232650181","usgk
euh""kk iky",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,50eh- Qzh fiLVy,jtr
108,dq-f[k-, 'kwfVax,232290457,usgk,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,"10eh- ,;j fiLVy ¼Vhe bosUV½",dkaL;
109,dq-f[k-, 'kwfVax,232510360,"vk'kh""k dqekj MksMoky",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,50eh- Qzh fiLVy ¼Vhe bosUV½,dkaL;
