vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
8,lkekU;,साइक्लिंग,&,आ.अभिजीत कुमार,71वीं अखिल भारतीय पुलिस एथलेटिक्स क्लस्टर प्रतियोगिता2022-23,लखनऊ,21.03.23 से 25.03.23,2023,साइक्लिंग ( 20KM Mass Start on Indian Cycle ),jtr
9,lkekU;,dq'rh,&,e-eq-vk- bUnw pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,50fdxzk-,jtr
10,dq-f[k-,dq'rh,&,e-vk- lk{kh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,62fdxzk,Lo.kZ
11,dq-f[k-,dq'rh,&,e-vk- lhek,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,65fdxzk,dkaL;
12,lkekU;,HkkjksRrksyu,&,vk- c`ts”k dqekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,89fdxzk-,jtr
13,lkekU;,ckfDalx,&,vk- fou; pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,60&63-5fdxzk,dkaL;
14,lkekU;,ckMh fcfYMax,&,vk- f”koe eku,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 100 fdxzk-,dkaL;
15,lkekU;,ckMh fcfYMax,&,eq-vk- lanhi pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 90 fdxzk-,jtr
16,lkekU;,ckMh fcfYMax,&,vk- fjadw HkkVh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,upto 90 fdxzk-,dkaL;
17,lkekU;,vkeZ jsfLyax,&,vk- jktho,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,55fdxzk,jtr
18,lkekU;,vkeZ jsfLyax,&,vk fodkl ukxj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,110fdxzk-,Lo.kZ
19,lkekU;,vkeZ jsfLyax,&,vk- vfouk”k nqcs,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,75fdxzk-,dkaL;
20,lkekU;,vkeZ jsfLyax,&,vk- jkgqy dqekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,90fdxzk-,jtr 
21,lkekU;,vkeZ jsfLyax,&,e-vk- :fp pkSgku,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,50fdxzk-,dkaL;
22,lkekU;,vkeZ jsfLyax,&,e-vk- nhik pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,$80fdxzk-,Lo.kZ
23,lkekU;,ikoj fyf¶Vax,&,vk- iou dqekj “kekZ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,66fdxzk-,Lo.kZ
24,lkekU;,ikoj fyf¶Vax,&,vk- “kqHke efyd ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,74fdxzk,Lo.kZ
25,lkekU;,ikoj fyf¶Vax,&,vk- fo”kky pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,83 fdxzk-,Lo.kZ
26,lkekU;,ikoj fyf¶Vax,&,vk0 lkSjo pkS/kjh,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,120fdxzk- ,jtr 
27,lkekU;,ikoj fyf¶Vax,&,e-vk- “khry ijekj,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,47fdxzk-,dkaL;
28,lkekU;,ikoj fyf¶Vax,&,e-vk- ljyk tknkSu,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,52fdxzk- ,jtr 
29,lkekU;,ikoj fyf¶Vax,&,e-vk- nh{kk xqIrk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 , e/kqcu ¼djuky½ gfj;k.kk,fnukad 04 ls 08 vDVwcj 2023,2023,63fdxzk-,jtr
30,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 70 मीटर दूरी,Lo.kZ
31,dq-f[k-,vkpZjh,&,रि.आ. अनन्त सैना,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,कम्पाउण्ड राउण्ड 50 मीटर दूरी,jtr
32,dq-f[k-,vkpZjh,&,रि.आ. तरूण दीक्षित,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,कम्पाउण्ड राउण्ड 50 मीटर दूरी,dkaL;
33,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 50 मीटर दूरी,jtr
34,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,रिकर्व 30 मीटर दूरी,Lo.kZ
35,dq-f[k-,vkpZjh,&,रि.आ. श्रेय भारद्वाज,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,ओवर ऑल रिकर्व राउण्ड,Lo.kZ
36,dq-f[k-@lk-,vkpZjh,&,e-vk- vuhrk ikSMoky] e-vk- f”kYih] e-vk- thur vkjk] e-vk- lqeu pkS/kjh,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,fjdoZ jkm.M efgyk Vhe bosUV,jtr
37,dq-f[k-,vkpZjh,&,vk-Js; Hkkj}kt] e-vk- lqeu pkS/kjh,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,cSxyksj] dukZVd,30-01-2024 ls 04-02-2024,2024,feDl Vhe bosUV,jtr
38,lkekU;,M~;wVhehV,&,dEI;wVj vkijsVj vuq “kekZ,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&2 vkfQl vkVkses”ku,jtr
39,lkekU;,M~;wVhehV,&,vkj{kh nhid dqekj flag,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,ohfM;ksxzkQh,Lo.kZ
40,lkekU;,M~;wVhehV,&,fujh{kd izksxzkej r: ekFkqj,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
41,lkekU;,M~;wVhehV,&,fujh{kd izksxzkej izeksn dqekj,67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24,"vkj-ih-,Q- y[kuÅ",12-02-2024 ls 16-02-2024,2024,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
42,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,Lo.kZ
43,lkekU;,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,jtr
44,lkekU;,Vscy Vsful,&,Adsl SP श्री मनीष सोनकर,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
45,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
46,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा, DySP श्री वरूण कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s टीम चैम्पियनशिप,jtr
47,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 50++++ डवल्स,Lo.kZ
48,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 40++++ डवल्स,jtr
49,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, Adsl SP श्री मनीष सोनकर",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s ओपन डबल्स,jtr
50,lkekU;,Vscy Vsful,&,उ.नि. महेश चन्द्र पाण्डेय,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,50+  सिंगल्स,dkaL;
51,dq-f[k-,Vscy Vsful,&,आ. सुब्रत राज वर्मा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
52,lkekU;,Vscy Vsful,&,म.मु.आ. रोमी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,dkaL;
53,lkekU;,Vscy Vsful,&,मु.आ. राहुल चौधरी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,dkaL;
54,dq-f[k-,Vscy Vsful,&,म.आ. श्रष्टी जैसवाल   ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
55,dq-f[k-,Vscy Vsful,&,म.आ. गुनगुन साहू    ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,Lo.kZ
56,lkekU;,Vscy Vsful,&,उ.नि. ओम कुमारी,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ सिंगल्स,Lo.kZ
57,lkekU;,Vscy Vsful,&,"उ.नि. ओम कुमारी, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ डबल,Lo.kZ
58,lkekU;,Vscy Vsful,&,एच.ओ. अर्चना,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ सिंगल्स,dkaL;
59,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. रोमी, म.आ. रानी सिंह, म.आ. गुनगुन साहू, म.आ. श्रष्टी जैसवाल, उ.नि. ओम कुमारी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,महिला टीम चैम्पियनशिप,Lo.kZ
60,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. अरशद खां, आ. अरविन्द चौधरी, आ. सुब्रत राज वर्मा, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
61,lkekU;,Vscy Vsful,&,"उ.नि. महेश चन्द्र पाण्डेय, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ मिक्स डबल्स,dkaL;
62,dq-f[k-@lk-,Vscy Vsful,&,"आ. अरविन्द चौधरी, म.आ. गुनगुन साहू",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,Lo.kZ
63,lkekU;,Vscy Vsful,&,"मु.आ. राहुल चौधरी, म.मु.आ. रोमी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,jtr
64,dq-f[k-@lk-,Vscy Vsful,&,"आ. विशाल राज, म.आ. रानी सिंह  ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,dkaL;
65,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. सुब्रत राज वर्मा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
66,dq-f[k-,Vscy Vsful,&,"आ. अरविन्द चौधरी, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,jtr
67,dq-f[k-,Vscy Vsful,&,"म.आ. गुनगुन साहू, म.आ.श्रष्टि जायसवाल ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
68,dq-f[k-,Vscy Vsful,&,"आ. सुब्रत राज वर्मा, म.आ.श्रष्टि जायसवाल",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डबल्स,dkaL;
69,dq-f[k-,"ckLdsVcky 
¼efgyk Vhe½",&,e-vk- cj[kk lksudj] uSUlh xqIrk] eulk chih] vuqlqb;k luy] jkxuh >ka] fyijke;h lR;iFkh] eukyh oksjk] lk{kh flag] vuqjk/kk lsB,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,Vhe bosUV,dkaL;
70,lkekU;,"lsid Vdjk 
efgyk",&,e-vk- fjadh iVsy] yrk dqekjh] 'k'kh izHkk] _rq feJk] iwtk jk;] izfrdk vk;Z] fjfrdk 'kekZ] js'kw xqIrk] uhyw ;kno] vkjrh ;kno] fotsrk] eksfudk] t;k JhokLro] vYdk pkgj,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,Vhe bosUV,dkaL;
71,lkekU;,"lsid Vdjk 
iq:""k",&,eq-vk- vfer dqekj] eq-vk- vkfnR; usxh] eq-vk- vfer dqekj] eq-vk- eksfgr xksLokeh] vk- jkgqy dqekj ckfYedh] vk- jks'ku pkSgku,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,DokM Li/kkZ,dkaL;
72,lkekU;,;ksxk,&,आ.राजकुमार बिन्द,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 पुरूष ट्रेडिस्नल,Lo.kZ
73,lkekU;,;ksxk,&,"म.आ. सगुफा तोहिद, म.आ. सरिता चौधरी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 महिला पेयर,dkaL;
74,lkekU;,;ksxk,&,"आ. सुभम मिश्रा, आ. प्रदीप कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 पुरूष पेयर,dkaL;
75,lkekU;,;ksxk,&,मु.आ. किशन कुमार,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 पुरूष ट्रेडिस्नल,Lo.kZ
76,lkekU;,;ksxk,&,"आ. ब्रजेश प्रधान, आ. रविन्द्र कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 पुरूष पेयर,dkaL;
77,lkekU;,;ksxk,&,"आ.राजीव कुमार, आ. कमल सिंह",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,35-45 पुरूष पेयर,dkaL;
78,lkekU;,;ksxk,&,"मु.आ. सुमित, आ. पंकज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 रिदमिक पेयर,dkaL;
79,lkekU;,;ksxk,&,"मु.आ. ब्रजेश प्रधान, मु.आ. अनुराग मलिक",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 रिदमिक पेयर,Lo.kZ
80,lkekU;,;ksxk,&,आ. राजकुमार बिन्द,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 आरटिस्टिक सिंगल,dkaL;
81,lkekU;,;ksxk,&,मु.आ. किशन कुमार,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-35 आरटिस्टिक सिंगल,jtr
82,lkekU;,;ksxk,&,"म.आ. सगुफा तोहीद, म.आ. रोहिन त्यागी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 रिदमिक पेयर,jtr
