73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ
7,,lyksuh flag,59 fdxzk-,dkaL;
8,,fl)kUr pkS/kjh,102 fdxzk-,Lo.kZ
9,,c`ts'k dqekj,89 fdxzk-,Lo.kZ
ikoj fyf¶Vax,ikoj fyf¶Vax,ikoj fyf¶Vax,ikoj fyf¶Vax,ikoj fyf¶Vax
1,182141645,e-vk- jtuh,47 fdxzk-,jtr
2,192412155,e-vk- iwtk ukxj,52 fdxzk-,jtr
3,182536348,e-vk- laxhrk,57 fdxzk-,jtr
4,182670637,"e-vk- iq""ik pkgj",63 fdxzk-,Lo.kZ
5,190755634,vk- jkds'k dqekj,59 fdxzk-,jtr
6,152012946,vk- iou dqekj 'kekZ,66 fdxzk-,Lo.kZ
7,192121965,vk- dVkj flag,74 fdxzk-,Lo.kZ
8,,Qk;jeSu fo'kky pkS/kjh,83 fdxzk-,Lo.kZ
9,,e-vk- fiz;adk 'kqDyk,76 fdxzk-,dkaL;
;ksxk,;ksxk,;ksxk,;ksxk,;ksxk
1,"182550616
162101007","lxqQk rkSghn]
liuk f}osnh",fjnfed is;j,dkaL;
2,,"eq-vk- vuqjkx efyd
eq-vk- c`ts'k iz/kku",fjnfed is;j,Lo.kZ
3,,"fd'ku dqekj
c`ts'k iz/kku
vuqjkx efyd
jktdqekj fcUn
jfoUnz flag",vkfVZfLVd xzqi,jtr
4,,"jktho dqekj
vjfoUn flag",vkfVZfLVd is;j,jtr
5,,fjrq Bkdqj,28&35,Lo.kZ
6,,fd”ku dqekj,lhfu;j ;ksxk,Lo.kZ
7,,vuqjkx efyd,lhfu;j ;ksxk,jtr
8,,fd”ku dqekj] jktdqekj,vkfVZfLVd is;j,dkaL;
9,,fjrw Bkdqj] eksfudk “kqDyk,vkfVZfLVd is;j,jtr
10,,egs”kpUnz R;kxh] gfjvkse falg] jktho dqekj] vjfoUn flag] dey flag,vkfVZfLVd ;ksxklu xzqi,jtr
11,,Lkk/kuk ik.Ms;,lhfu;j ;ksxk,dkaL;
"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 fnukad 10 ls 17 uoEcj] ubZ] fnYyh","73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 fnukad 10 ls 17 uoEcj] ubZ] fnYyh","73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 fnukad 10 ls 17 uoEcj] ubZ] fnYyh","73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 fnukad 10 ls 17 uoEcj] ubZ] fnYyh","73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 fnukad 10 ls 17 uoEcj] ubZ] fnYyh"
",FkysfVDl ,oa lkbfDyax",",FkysfVDl ,oa lkbfDyax",",FkysfVDl ,oa lkbfDyax",",FkysfVDl ,oa lkbfDyax",",FkysfVDl ,oa lkbfDyax"
1,232290301,e-vkj{kh mtkyk,10]000eh-,Lo.kZ
2,232510719,vkj{kh fizUl dqekj,10]000eh-,Lo.kZ
3,232530014,vkj{kh eks- vyhe,10]000eh-,jtr
4,232030123,e-vkj{kh eerk iky,10]000eh-,dkaL;
5,234100499,vkj{kh bjQku,800eh- ju,Lo.kZ
6,232330278,e-vkj{kh [kq'kcw oekZ,fVªiy tEi,dkaL;
7,234100183,vkj{kh dju dqekj ljkst,iksy okYV,dkaL;
8,180540378,ihlh cyjke,10]000eh-,dkaL;
9,232330092,vk- fjfrd ckfy;ku,LVhiy psl,Lo.kZ
10,234240223,e-vk- fjfRodk flag,100eh- gMZy,dkaL;
11,232030266,vk- lUnhi dqekj,gkbZ tEi,dkaL;
12,232330050,vk- vkdk'k xzsgoky, 'kkViqV,jtr
13,232650064,vk- f'koe pkS/kjh, 'kkViqV,dkaL;
14,234240135,e-vk- js'kek iVsy,10fdeh okdpky,Lo.kZ
15,232330164,vk- lfpu ;kno,tSofyu,Lo.kZ
16,232510748,vk- vk;Zu pkS/kjh,ykWx tEi,Lo.kZ
17,232510719,vk- fizUl dqekj,5000eh- ju,Lo.kZ
18,180540378,ihlh cyjke,5000eh- ju,jtr
19,232530014,vk- eks- vyhe,5000eh- ju,dkaL;
20,,fiz;adk fldjokj] jks'kuh ;kno] Vhuk] fjadh iky,4x100eh-,Lo.kZ
21,,yfo'k 'kekZ] f'kokax feJk] iadt] eksfgr dqekj,4x100eh-,Lo.kZ
22,182480616,e-vk- euksjek,1500eh-,jtr
23,232290082,e-vk- yoyh jktiwr,400eh- gMZy,jtr
24,234130157,vk- vHk; ukjk;.k ;kno,400eh- gMZy,dkaL;
25,232330281,e-vk- fiz;adk fldjokj,200eh,dkaL;
26,232510836,e-vk- :fpdk flag,30fdeh-,dkaL;
27,232330425,vkj{kh eqdqy,30fdeh-,dkaL;
28,232510214,e-vkj{kh vkjrh,80fdeh-,Lo.kZ
29,232510214,e-vkj{kh vkjrh,30fdeh-,jtr
30,180500420,vk- lquhy dqekj lkguh,20fdeh-,jtr
31,192032852,e-vk- vuhrk feJk,15fdeh-,dkaL;
32,190733838,vk- jfo dqekj,20fdeh-,dkaL;
