,,,,,,,,,,,,,
fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
1,2,2,3,7,16,15,16,47,60,50,63,173,227
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2023 ls 31-12-2023 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,6,2,2,10,6,11,9,26,9,9,11,29,65
,,,,,,,,,,,,,
ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k,ind izkIr djus ds mijkUr ns; udn iqjLdkj dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0",izfr;ksfxrk dk uke,izfr;ksfxrk dk uke,izfr;ksfxrk dk uke,izfr;ksfxrk dk uke,izfr;ksfxrk dk uke,Lo.kZ,Lo.kZ,jtr,jtr,dkaL;,dkaL;,Hkkx ysus ij ,Hkkx ysus ij 
,Hkkjrh; Vhe esa p;fur,Hkkjrh; Vhe esa p;fur,Hkkjrh; Vhe esa p;fur,Hkkjrh; Vhe esa p;fur,Hkkjrh; Vhe esa p;fur,&,&,&,&,&,&,20000,20000
,"lkmFk ,f'k;kbZ [ksy","lkmFk ,f'k;kbZ [ksy","lkmFk ,f'k;kbZ [ksy","lkmFk ,f'k;kbZ [ksy","lkmFk ,f'k;kbZ [ksy",8]00]000,8]00]000,5]00]000,5]00]000,3]00]000,3]00]000,&,&
,"dkeuosYFk xsEl@,f'k;kbZ pSfEi;uf'ki","dkeuosYFk xsEl@,f'k;kbZ pSfEi;uf'ki","dkeuosYFk xsEl@,f'k;kbZ pSfEi;uf'ki","dkeuosYFk xsEl@,f'k;kbZ pSfEi;uf'ki","dkeuosYFk xsEl@,f'k;kbZ pSfEi;uf'ki",15]00]000,15]00]000,12]00]000,12]00]000,8]00]000,8]00]000,&,&
,",f'k;kbZ [ksyksa esa",",f'k;kbZ [ksyksa esa",",f'k;kbZ [ksyksa esa",",f'k;kbZ [ksyksa esa",",f'k;kbZ [ksyksa esa",15]00]000,15]00]000,12]00]000,12]00]000,8]00]000,8]00]000,&,&
,vksyfEid [ksyksa esa,vksyfEid [ksyksa esa,vksyfEid [ksyksa esa,vksyfEid [ksyksa esa,vksyfEid [ksyksa esa,20]00]000,20]00]000,15]00]000,15]00]000,10]00]000,10]00]000,&,&
,"jk""Vªh; izfr;ksfxrk@jk""Vªh; [ksy","jk""Vªh; izfr;ksfxrk@jk""Vªh; [ksy","jk""Vªh; izfr;ksfxrk@jk""Vªh; [ksy","jk""Vªh; izfr;ksfxrk@jk""Vªh; [ksy","jk""Vªh; izfr;ksfxrk@jk""Vªh; [ksy",60]000,60]000,40]000,40]000,30]000,30]000,&,&
,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,50]000,50]000,30]000,30]000,20]000,20]000,&,&
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-10-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,0,0,0,0,1,1,1,3,0,0,0,0,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 21-11-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,2,2,5,9,16,15,17,48,71,57,77,205,262
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,2025 esa m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,14,2,3,19,33,20,34,87,70,56,83,209,315
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,01-12-2025 ls vc rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,0,0,0,0,7,4,3,14,0,0,0,0,14
