,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण
39,म.आ. कुसुम,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
40,म.आ. सिवी,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
41,vkj{kh vLFkk ikgok,ckfDalx,dkaL;,Boxam International boxing tournament 2-01-2024 to 04-02-2024,mRrj izns'k
42,रिंकी शर्मा,ckfDalx,dkaL;,7th Elite women national Boxing champinship,mRrj izns'k
43,"g""kZ Mkxj
dq'ky flag
eks- dSQ",ckLdsVcky,Lo.kZ,13वीं जूनियर नेशनल बास्केटबाल चैम्‍पियनशिप,"gfj;k.kk
mRrj izns'k
mRrj izns'k"
44,"fnfXot; flag
g""kZ Mkxj
dq'ky flag",ckLdsVcky,jtr, 4th 3x3 Senior National Basketball Championship (men/women) ,"jktLFkku
gfj;k.kk
mRrj izns'k"
45,"fnfXot; flag
g""kZ Mkxj
dq'ky flag",ckLdsVcky,Lo.kZ,;wFk&23 3x3 us'kuy ckLdsVcky pSfEi;uf'ki 2025,"jktLFkku
gfj;k.kk
mRrj izns'k"
46,"e-vk- fyizkebZ lriFkh
e-vk- lk{kh flag
e-vk- cj[kk lksudj
e-vk- eulk chih
e-vk- jkxuh >ka
e-vk- vuqjk/kk lsB
e-vk- uSUlh xqIrk
e-vk- eukyh cksjk
e-vk- vuqlqbZ;k luy th ukFk","ckLdsVcky 
¼efgyk Vhe½",dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mMhlk
mRrj izns'k
mRrj izns'k
dukZVd
NRrhlx<
mMhlk
mRrj izns'k
e/; izns'k
dsjy"
47,"fyizkebZ lriFkh
lk{kh flag
cj[kk lksudj
eulk chih
jkxuh >ka
vuqjk/kk lsB
uSUlh xqIrk
eukyh cksjk
vuqlqbZ;k luy th ukFk","ckLdsVcky 
¼efgyk Vhe½",Lo.kZ,izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,"mMhlk
mRrj izns'k
mRrj izns'k
dukZVd
NRrhlx<
mMhlk
mRrj izns'k
e/; izns'k
dsjy"
48,"vkdk'k iokaj
lR;thr pijkuk
fgeka'kw flag
lfpu pkS/kjh
 'kjn lw;Zoa'kh
QSly [kku
v{k; dqekj Mh
fnfXot; flag
g""kZ Mkxj
eks- dSQ
dq'ky flag","ckLdsVcky 
¼iq:""k Vhe½",Lo.kZ,izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
dukZVd
jktLFkku
mRrj izns'k
mRrj izns'k"
49,vkj{kh jktu ;kno,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
50,e-vkj{kh fleju pkS/kjh,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
51,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
52,e-vkj{kh fjpk ;kno,cSMfeUVu,dkaL; ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
53,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,cSMfeUVu,dkaL;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
54,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,cSMfeUVu,dkaL;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
55,"e-vk- fleju pkS/kjh
e-vk- _pk ;kno",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
56,"vk- jktu ;kno
vk- tquSn vUlkjh
vk- fi;w""k dqekj
vk- dfiy pkS/kjh",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
57,"tquSn vUlkjh
fjpk ;kno",cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
58,"jktu ;kno
fleju pkS/kjh",cSMfeUVu,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
59,tquSn vUlkjh o vU;,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
60,fleju pkS/kjh,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
61,fjpk ;kno,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
62,"dfiy
fi;w""k",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
63,"fleju pkS/kjh
fjpk ;kno",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
64,"vt; jkBh
fofur uSu
/kuUt; dqekj
yfyr pkS/kjh
'kqHke dqekj
vktkn flag
fuxe pkS/kjh
vadq'k dqekj
fodze izrki falag",dcM~Mh,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
65,"f'kokuh
Lusgk
vpZuk ;kno
csoh ;kno
eUuw
vuq
fiz;k
o""kkZ rkfy;ku
vpZuk
o""kkZ R;kxh
lksfudk ukxj
usgk",dcM~Mh,jtr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
gfj;k.kk
mRrj izns'k
gfj;k.kk
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k"
66, 'kqHke dqekj,dcM~Mh,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
67,vuq,dcM~Mh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
68,vk- vuwi dqekj,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
69,vk- vafdr,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
70,vk- lfpu,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
71,vk- eksfgr [kks[kj,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
72,vk- fo'kky lkguh,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
73,vk- jfoUnz,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
74,"vk- vk;q""k dqekj",dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
75,"vk- vfHk""ksd",dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
76,vk- rstohj flag ;kno,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
77,vk- vejiky,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
78,vk- xksfoUn dqekj,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
79,e-vk- fiz;ka'kh iztkifr,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,e/; izns'k
80,e-vk- laxhrk,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
81,e-vk- ekulh ;kno,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
82,"e-vk- iq""ik ;kno",dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
83,e-vk- latw nsoh,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
84,e-vk- fu'kk,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
85,"iq""ik ;kno",dq'rh,Lo.kZ,";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",mRrj izns'k
86,232510168 vafdr,dq'rh,jtr,";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",mRrj izns'k
87,पुष्पा यादव,dq'rh,jtr,37वें नेशनल गेम्स 2023 ,mRrj izns'k
88,शुभम,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
89,आयुष कुमार,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
90,तेजवीर सिंह यादव,dq'rh,jtr,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
91,अजीत कुमार,dq'rh,jtr,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
92,चंचल सिरोही,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
93,पुष्पा यादव,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
94,fiz;ka'kh iztkifr,dq'rh,Lo.kZ,"jk""Vªh; iq-@e- dq'rh izfr;ksfxrk v.Mj&20",e/; izns'k
95, 'kqHke,dq'rh,Lo.kZ,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
96,rstohj flag,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
97,ekulh ;kno,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
98,papy fljksgh,dq'rh,dkaL;,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
99,vthr dqekj,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
100,Hkksyw ;kno,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
101,ekulh ;kno,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
102,fo'kky lkguh,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
103,vuwi ;kno,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
104,vafdr,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",gfj;k.kk
105,lfpu,dq'rh,jtr,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",gfj;k.kk
106,papy fljksgh,dq'rh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
107,vafdr,dq'rh,dkaL;,38osa us'kuy xsEl 2025,gfj;k.kk
108,fiz;ka'kh iztkifr,dq'rh,Lo.kZ,lhfu;j us'kuy dq'rh QsMjs'ku di,e/; izns'k
109,nh{kk rksej,dq'rh,dkaL;,lhfu;j us'kuy dq'rh QsMjs'ku di,mRrj izns'k
110,"vkj{kh la{ksi ;kno
luh flag
eks- vQlkj [kku
vkdk”k vk;Z
lanhi dqekj
Hkxr flag
v{kr",ftEukfLVd,dkaL;,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrjk[k.M
mRrj izns'k"
111,luh flag,ftEukfLVd,dkaL;,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
112,Hkxr flag,ftEukfLVd,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrjk[k.M
113,v{kr,ftEukfLVd,jtr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
114,vkdk”k vk;Z,ftEukfLVd,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,p.Mhx<
115,vkj{kh v:.k lkguh,gkWdh,dkaL;,11oha lqYrku vkWQ tksgj di&2023,mRrj izns'k
116,vkj{kh pUnu ;kno,gkWdh,Lo.kZ,सुल्तान जौहर कप -2024,mRrj izns'k
117,vkj{kh pUnu ;kno,gkWdh,Lo.kZ,पुरूष जूनियर एशिया कप - 2024,mRrj izns'k
118,eksgEen gkfjl,gkWdh,dkaL;,37osa us'kuy xsEl xksok,mRrj izns'k
119,lwjt iky,gkWdh,jtr,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,mRrj izns'k
120,vafdr iztkifr,gkWdh,jtr,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,mRrj izns'k
121,"vuUr fo'odekZ 
eks- gkfj'k] 
v:.k lkguh",gkWdh,dkaL;,14oha gkWdh bf.M;k lhfu;j esUl us'kuy pSfEi;uf'ki-2024,mRrj izns'k
122,"pUnu ;kno
izrhd fuxe
eksgEen gkfj'k
v:.k lkguh",gkWdh,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
123,"euds'k
fodzkUr flag
 'kkg:[k uokt
vfer flag
 'kqHke ljkst
veku pkS/kjh",gS.Mcky,dkaL;,36oha QsMjs'ku di pSfEi;uf'ki,"gfj;k.kk
tcyiqj
mRrj izns'k
mRrj izns'k
mRrj izns'
mRrj izns'k"
124,vk- jksfgr dqekj ;kno,HkkjksRrksyu,jtr,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
125,vk- lqns'k dqekj ik.Ms;,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
126,e-vk- jk/kk lksuh,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
127,e-vk- 'kkfyuh,HkkjksRrksyu,jtr,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
128,vk- izos'k cSlks;k,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
129,vk- vkdk'k,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
130,lyksuh flag,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
