,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण
111,vk- f'koe pkS/kjh,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
112,e-vk- js'kek iVsy,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
113,vk- lfpu ;kno,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
114,vk- vk;Zu pkS/kjh,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
115,vk- fizUl dqekj,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
116,vk- eks- vyhe,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
117,fiz;adk fldjokj] jks'kuh ;kno] Vhuk] fjadh iky,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
118,"yfo'k 'kekZ] 
f'kokax feJk
iadt
eksfgr dqekj",",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ","mRrj izns'k
mRrj izns'k
jktLFkku
mRrj izns'k"
119,e-vk- yoyh jktiwr,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
120,vk- vHk; ukjk;.k ;kno,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
121,e-vk- fiz;adk fldjokj,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
122,e-vk- :fpdk flag,lkbfDyax,dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",gfj;k.kk
123,vkj{kh eqdqy,lkbfDyax,dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
124,e-vkj{kh vkjrh,lkbfDyax,Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrjk[k.M
125,e-vkj{kh vkjrh,lkbfDyax,jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrjk[k.M
126,आ. वासू सैनी,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
127,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
128,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
129,म.आ. दीपिका पाण्डेय,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
130,म.आ. दीपिका पाण्डेय,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
131,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
132,आ. श्रेय भारद्वाज,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
133,आ. श्रेय भारद्वाज,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,fcgkj
134,आ.तरूण कुमार दीक्षित,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
135,आ.तरूण कुमार दीक्षित,vkpZjh,Lo.kZ,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
136,आ.तरूण कुमार दीक्षित,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
137,आ.तरूण कुमार दीक्षित,vkpZjh,dkaL;,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,gfj;k.kk
138,आ. हर्ष वालियान,vkpZjh,jtr,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,mRrj izns'k
139,"आ.तरूण कुमार दीक्षित
आ. अनन्त सैनी
आ.निशान्त मलिक
आ. हर्ष वालियान",vkpZjh,Lo.Kz,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,"gfj;k.kk
mRrj izns'k
mRrj izns'k
mRrj izns'k"
140,"djuchj flag fHkUMj
“kksfHkr ik.Ms;",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
