vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
153,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. सुब्रत राज वर्मा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
154,dq-f[k-,Vscy Vsful,&,"आ. अरविन्द चौधरी, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,jtr
155,dq-f[k-,Vscy Vsful,&,"म.आ. गुनगुन साहू, म.आ.श्रष्टि जायसवाल ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
156,dq-f[k-,Vscy Vsful,&,"आ. सुब्रत राज वर्मा, म.आ.श्रष्टि जायसवाल",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डबल्स,dkaL;
157,dq-f[k-,"ckLdsVcky 
¼efgyk Vhe½",&,e-vk- cj[kk lksudj] uSUlh xqIrk] eulk chih] vuqlqb;k luy] jkxuh >ka] fyijke;h lR;iFkh] eukyh oksjk] lk{kh flag] vuqjk/kk lsB,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,Vhe bosUV,dkaL;
158,lkekU;,"lsid Vdjk 
efgyk",&,e-vk- fjadh iVsy] yrk dqekjh] 'k'kh izHkk] _rq feJk] iwtk jk;] izfrdk vk;Z] fjfrdk 'kekZ] js'kw xqIrk] uhyw ;kno] vkjrh ;kno] fotsrk] eksfudk] t;k JhokLro] vYdk pkgj,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,Vhe bosUV,dkaL;
159,lkekU;,"lsid Vdjk 
iq:""k",&,eq-vk- vfer dqekj] eq-vk- vkfnR; usxh] eq-vk- vfer dqekj] eq-vk- eksfgr xksLokeh] vk- jkgqy dqekj ckfYedh] vk- jks'ku pkSgku,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,DokM Li/kkZ,dkaL;
160,lkekU;,;ksxk,&,आ.राजकुमार बिन्द,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 पुरूष ट्रेडिस्नल,Lo.kZ
161,lkekU;,;ksxk,&,"म.आ. सगुफा तोहिद, म.आ. सरिता चौधरी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 महिला पेयर,dkaL;
162,lkekU;,;ksxk,&,"आ. सुभम मिश्रा, आ. प्रदीप कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 पुरूष पेयर,dkaL;
163,lkekU;,;ksxk,&,मु.आ. किशन कुमार,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 पुरूष ट्रेडिस्नल,Lo.kZ
164,lkekU;,;ksxk,&,"आ. ब्रजेश प्रधान, आ. रविन्द्र कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 पुरूष पेयर,dkaL;
165,lkekU;,;ksxk,&,"आ.राजीव कुमार, आ. कमल सिंह",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,35-45 पुरूष पेयर,dkaL;
166,lkekU;,;ksxk,&,"मु.आ. सुमित, आ. पंकज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 रिदमिक पेयर,dkaL;
167,lkekU;,;ksxk,&,"मु.आ. ब्रजेश प्रधान, मु.आ. अनुराग मलिक",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 रिदमिक पेयर,Lo.kZ
168,lkekU;,;ksxk,&,आ. राजकुमार बिन्द,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 आरटिस्टिक सिंगल,dkaL;
169,lkekU;,;ksxk,&,मु.आ. किशन कुमार,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-35 आरटिस्टिक सिंगल,jtr
170,lkekU;,;ksxk,&,"म.आ. सगुफा तोहीद, म.आ. रोहिन त्यागी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 रिदमिक पेयर,jtr
171,lkekU;,;ksxk,&,"म.आ. रितू, म.आ. मोनिका शुक्ला",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 रिदमिक पेयर,dkaL;
172,lkekU;,;ksxk,&,"मु.आ. सुमित कुमार, आ. पंकज कुमार, आ. राजकुमार बिन्द, आ.प्रदीप कुमार, आ. सुभम कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 आरटिस्टिक ग्रुप,Lo.kZ
173,dq-f[k-,okVj LiksVZ~l,&,"आ. सत्यम बालियान, आ. बलवीर जाट",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,क्याकिंग K-2 1000 मीटर,Lo.kZ
174,dq-f[k-,okVj LiksVZ~l,&,"आ. करनबीर सिंह बिन्दर, आ. सोभित पाण्डेय",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग डबल स्कल 1000 मीटर,Lo.kZ
175,dq-f[k-,okVj LiksVZ~l,&,"आ.आदित्य सिंह, आ.सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग पेयर 1000 मीटर,dkaL;
176,dq-f[k-,okVj LiksVZ~l,&,"आ. निखिल कुमार, आ. सोयल, आ. आदित्य सिंह, आ. सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग फोर 1000 मीटर,jtr
177,dq-f[k-,okVj LiksVZ~l,&,आ.सोभित पाण्डेय,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग सिंगल स्कल 500 मीटर,jtr
178,dq-f[k-,okVj LiksVZ~l,&,"आ. 232031780 आदित्य सिंह, आ. 232290343 सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग पेयर 500 मीटर,Lo.kZ
179,dq-f[k-@lk-,okVj LiksVZ~l,&,"आ. 232090372 सत्यम बालियान  234240496 विकास मौर्या   
232010118 बलवीर जाट     
190721163 बृजमोहन",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,"क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर",jtr
180,dq-f[k-,okVj LiksVZ~l,&,"आ. 232290343 करनबीर सिंह भिन्डर, आ. लोकेश",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग डबल स्कल 500 मीटर,Lo.kZ
181,dq-f[k-,okVj LiksVZ~l,&,"आ. अभिमन्यू पटेल, आ. 232510908 महेन्द्र सिंह, आ. 232510227 सागर चौधरी, आ. 232510937 हर्ष कुमार",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,क्याकिंग K-4 200 मीटर,jtr
182,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl iq:’k ,Lo.kZ
183,dq-f[k-,cSMfeUVu,&,e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu flaxYl,Lo.kZ
184,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu feDl McYl,Lo.kZ
185,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms; o m-fu- mes'kpUnz iVsy,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ McYl,jtr 
186,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ iq:’k flaxYl,jtr 
187,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl,dkaL; 
188,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu McYl iq:’k,dkaL;
189,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu McYl,dkaL;
190,lkekU;, 'kwfVax M~;wVh ehV,142060027,e-vkj{kh ljkst,25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25,vksFkhoDde] rfeyukMw,15-06-2024 ls 20-06-2024,2024,300 xt jkbQy LuSi 'kwfVax,Lo.kZ
191,dq-f[k-,oq'kw,232290125,e-vkj{kh fiz;adk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,rkmyw,Lo.kZ
192,dq-f[k-,oq'kw,232330252,vkj{kh eksfgr Fkkik,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,rkmyw,jtr
193,dq-f[k-,oq'kw,232330353,e-vk- izhrh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,56fdxzk-,jtr
194,dq-f[k-,oq'kw,232330207,vkj{kh fufru pkS/kjh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,65fdxzk,jtr
195,dq-f[k-,oq'kw,232510751,vkj{kh fpUVw ukxj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,$90fdxzk-,Lo.kZ
196,dq-f[k-,oq'kw,232030224,vkj{kh lwjt ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,70fdxzk,dkaL;
197,dq-f[k-,oq'kw,232650022,e-vk- gqek [kku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,48fdxzk-,dkaL;
198,dq-f[k-,oq'kw,232510546,e-vk- izsj.kk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,60fdxzk-,dkaL;
199,dq-f[k-,oq'kw,232010075,e-vk- Jqfr ljoS;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,65fdxzk,dkaL;
200,lkekU;,oq'kw,191863590,vk- fodkl lgjkor lkekU;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,85fdxzk-,dkaL;
201,lkekU;,rkbZDok.Mks,182702697,vkj{kh lquhy,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,87$,dkaL;
202,lkekU;,rkbZDok.Mks,202481238,vkj{kh lksuw ckfy;ku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,74,dkaL;
203,dq-f[k-,rkbZDok.Mks,232510155,e-vkj{kh iwtk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,62,Lo.kZ
204,dq-f[k-,rkbZDok.Mks,&,e-vkj{kh vuh'kk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,53,Lo.kZ
205,dq-f[k-,rkbZDok.Mks,234103603,e-vkj{kh fj;k dukSft;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,46,jtr
206,dq-f[k-,rkbZDok.Mks,234100082,e-vk- lhek dukSft;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,49fdxzk-,Lo.kZ
207,dq-f[k-,rkbZDok.Mks,232032002,e-vk- _f’krk jk;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,57fdxzk-,jtr
208,dq-f[k-,rkbZDok.Mks,232290659,vk- nsokax 'kekZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,63fdxzk-,dkaL;
209,dq-f[k-,rkbZDok.Mks,232510142,e-vk- [kq'kcw ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,73fdxzk-,Lo.kZ
210,dq-f[k-,rkbZDok.Mks,232330643,e-vk- e/kw flag,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,67fdxz-,Lo.kZ
211,dq-f[k-,rkbZDok.Mks,232032187,"vk- _f""k jk;","09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,68fdxz-,Lo.kZ
212,dq-f[k-,twMks,232290213,e-vkj{kh vfLerk Ms,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,48fdxzk-,Lo.kZ
213,dq-f[k-,twMks,232330119,vkj{kh fo'kky pkSgku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,90fdxzk-,dkaL;
214,dq-f[k-,twMks,232510823,vkj{kh lquhy,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,$100fdxzk-,Lo.kZ
215,lkekU;,isapd flykV,192132552,e-vk- 'khry nsoh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,45fdxzk-,Lo.kZ
216,lkekU;,isapd flykV,182423329,e-vk- T;ksfr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,55fdxzk,jtr
217,lkekU;,isapd flykV,112292225,eq-vk- eukst dqekj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,90fdxzk-,jtr
218,lkekU;,isapd flykV,190481232,vk- nhid,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,85fdxzk,dkaL;
219,lkekU;,isapd flykV,162531321,vk- vfer dqekj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,80fdxzk,dkaL;
220,lkekU;,isapd flykV,180520305,vk- fxj/kkjh yky,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,50fdxzk-,dkaL;
221,lkekU;,isapd flykV,190713243,vk- uohu,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,45fdxzk-,dkaL;
222,lkekU;,isapd flykV,182271074,e-vk- fiz;k flag,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,60fdxzk,dkaL;
223,lkekU;,isapd flykV,180570241,lqjsUnz dqekj ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,55fdxzk,dkaL;
224,lkekU;, 'kwfVax M~;wVhehV,&,e-vkj{kh ljkst,vf[ky Hkkjrh; iqfyl 'kwfVax pSfEi;uf'ki QkWj owesu,rfeyukMw,15-06-2024 ls 20-06-2024,2024,300xt jkbQy LuSi 'kwfVax,Lo.kZ
225,dq-f[k-,dq'rh,234100255,vk- vuwi dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55 fdxzk-,Lo.kZ
226,dq-f[k-,dq'rh,232510168,vk- vafdr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,63 fdxzk-,jtr
227,dq-f[k-,dq'rh,232510171,vk- lfpu,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,67 fdxzk-,Lo.kZ
228,dq-f[k-,dq'rh,232330571,vk- eksfgr [kks[kj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,97 fdxzk-,Lo.kZ
229,dq-f[k-,dq'rh,234240438,vk- fo'kky lkguh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,57 fdxzk-,Lo.kZ
230,dq-f[k-,dq'rh,232510054,vk- jfoUnz,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,61 fdxzk-,Lo.kZ
231,dq-f[k-,dq'rh,232290170,"vk- vk;q""k dqekj",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,65 fdxzk-,Lo.kZ
232,dq-f[k-,dq'rh,232510038,"vk- vfHk""ksd",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,70 fdxzk-,jtr
233,dq-f[k-,dq'rh,232031810,vk- rstohj flag ;kno,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,74 fdxzk-,dkaL;
234,dq-f[k-,dq'rh,232510070,vk- vejiky,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,79 fdxzk-,dkaL;
235,dq-f[k-,dq'rh,232031807,vk- xksfoUn dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,86 fdxzk-,jtr
236,dq-f[k-,dq'rh,232010150,e-vk- fiz;ka'kh iztkifr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,53,jtr
237,dq-f[k-,dq'rh,232510403,e-vk- laxhrk,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55,jtr
238,dq-f[k-,dq'rh,232032073,e-vk- ekulh ;kno,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55,dkaL;
239,dq-f[k-,dq'rh,234103599,"e-vk- iq""ik ;kno",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,62,dkaL;
240,dq-f[k-,dq'rh,232510275,e-vk- latw nsoh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,65,Lo.kZ
241,dq-f[k-,dq'rh,232510344,e-vk- fu'kk,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,72,dkaL;
242,lkekU;,dq'rh,192611044,e-vk- fjpk 'kekZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,50,dkaL;
243,lkekU;,dq'rh,182664335,e-vk- uhye rksej,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,76,jtr
244,lkekU;,vkeZ jsfLyax,194060053,vk- vt; iky,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55 fdxzk-,Lo.kZ
