72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk
12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24 fnukad 30-01-2024 ls 04-02-2024 rd cSxyksj] dukZVd ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24 fnukad 30-01-2024 ls 04-02-2024 rd cSxyksj] dukZVd ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24 fnukad 30-01-2024 ls 04-02-2024 rd cSxyksj] dukZVd ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24 fnukad 30-01-2024 ls 04-02-2024 rd cSxyksj] dukZVd 
Ø0la0,in o uke,Li/kkZ,Iknd
1,रि.आ. श्रेय भारद्वाज,रिकर्व 70 मीटर दूरी,स्वर्ण पदक
2,रि.आ. अनन्त सैना,कम्पाउण्ड राउण्ड 50 मीटर दूरी,रजत पदक
3,रि.आ. तरूण दीक्षित,कम्पाउण्ड राउण्ड 50 मीटर दूरी,कास्य पदक
4,रि.आ. श्रेय भारद्वाज,रिकर्व 50 मीटर दूरी,रजत पदक
5,रि.आ. श्रेय भारद्वाज,रिकर्व 30 मीटर दूरी,स्वर्ण पदक
6,रि.आ. श्रेय भारद्वाज,ओवर ऑल रिकर्व राउण्ड,स्वर्ण पदक
7,e-vk- vuhrk ikSMoky,fjdoZ jkm.M,रजत पदक
7,e-vk- f”kYih,fjdoZ jkm.M,रजत पदक
7,e-vk- thur vkjk,fjdoZ jkm.M,रजत पदक
7,e-vk- lqeu pkS/kjh,fjdoZ jkm.M,रजत पदक
8,आ. श्रेय भारद्वाज,feDl Vhe bosUV,रजत पदक
8,e-vk- lqeu pkS/kjh,feDl Vhe bosUV,रजत पदक
"67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24 fnukad 12-02-2024 ls 16-02-2024 rd vkj-ih-,Q- y[kuÅ","67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24 fnukad 12-02-2024 ls 16-02-2024 rd vkj-ih-,Q- y[kuÅ","67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24 fnukad 12-02-2024 ls 16-02-2024 rd vkj-ih-,Q- y[kuÅ","67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24 fnukad 12-02-2024 ls 16-02-2024 rd vkj-ih-,Q- y[kuÅ"
Ø0la0,in o uke,Li/kkZ,Iknd
1,dEI;wVj vkijsVj vuq “kekZ,bosUV uEcj&2 vkfQl vkVkses”ku,jtr
2,vkj{kh nhid dqekj flag,ohfM;ksxzkQh,Lo.kZ
3,fujh{kd izksxzkej r: ekFkqj,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
4,fujh{kd izksxzkej izeksn dqekj,bosUV uEcj&3 dEI;wVj vos;jusl,Lo.kZ
72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24 fnukad 26-02-2024 ls 02-03-2024 rd ukxiqj] egkjk’V,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24 fnukad 26-02-2024 ls 02-03-2024 rd ukxiqj] egkjk’V,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24 fnukad 26-02-2024 ls 02-03-2024 rd ukxiqj] egkjk’V,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24 fnukad 26-02-2024 ls 02-03-2024 rd ukxiqj] egkjk’V
Vscy Vsful,Vscy Vsful,Vscy Vsful,Vscy Vsful
Ø0la0,in o uke,Li/kkZ,Iknd
1,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s  50+  सिंगल्स,स्वर्ण
2,DySP श्री प्रेम कुमार थापा,GO’s  50+  सिंगल्स,रजत
3,Adsl SP श्री मनीष सोनकर,GO’s  40+ सिंगल्स,कांस्य
4,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s  40+ सिंगल्स,कांस्य
5,Adsl SP श्री मनीष सोनकर,GO’s टीम चैम्पियनशिप,रजत
5,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s टीम चैम्पियनशिप,रजत
5,DySP श्री प्रेम कुमार थापा,GO’s टीम चैम्पियनशिप,रजत
5,DySP श्री वरूण कुमार,GO’s टीम चैम्पियनशिप,रजत
6,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s 50++++ डवल्स,स्वर्ण
6,DySP श्री प्रेम कुमार थापा,GO’s 50++++ डवल्स,स्वर्ण
7,Adsl SP श्री मनीष सोनकर,GO’s 40++++ डवल्स,रजत
7,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s 40++++ डवल्स,रजत
8,DySP श्री देवेन्द्र सिंह भदौरिया,GO’s ओपन डबल्स,रजत
8,Adsl SP श्री मनीष सोनकर,GO’s ओपन डबल्स,रजत
9,उ.नि. महेश चन्द्र पाण्डेय,50+  सिंगल्स,कांस्य
10,rc आ. सुब्रत राज वर्मा,ओपन  सिंगल्स,रजत
11,म.मु.आ. रोमी,ओपन  सिंगल्स,कांस्य
12,मु.आ. राहुल चौधरी,ओपन  सिंगल्स,कांस्य
13,म.आ. श्रष्टी जैसवाल   ,ओपन  सिंगल्स,रजत
14,म.आ. गुनगुन साहू    ,ओपन  सिंगल्स,स्वर्ण
15,उ.नि. ओम कुमारी,40+ सिंगल्स,स्वर्ण
16,उ.नि. ओम कुमारी,40+ डबल,स्वर्ण
16,एच.ओ. अर्चना,40+ डबल,स्वर्ण
17,एच.ओ. अर्चना,40+ सिंगल्स,कांस्य
18,मु.आ. रोमी,महिला टीम चैम्पियनशिप,स्वर्ण
18,म.आ. रानी सिंह  ,महिला टीम चैम्पियनशिप,स्वर्ण
18,म.आ. गुनगुन साहू    ,महिला टीम चैम्पियनशिप,स्वर्ण
18,म.आ. श्रष्टी जैसवाल   ,महिला टीम चैम्पियनशिप,स्वर्ण
18,उ.नि. ओम कुमारी,महिला टीम चैम्पियनशिप,स्वर्ण
19,मु.आ. राहुल चौधरी,पुरूष टीम चैम्पियनशिप,स्वर्ण
19,आ. अरशद खां,पुरूष टीम चैम्पियनशिप,स्वर्ण
19,आ. अरविन्द चौधरी,पुरूष टीम चैम्पियनशिप,स्वर्ण
19,आ. सुब्रत राज वर्मा,पुरूष टीम चैम्पियनशिप,स्वर्ण
19,आ. विशाल राज,पुरूष टीम चैम्पियनशिप,स्वर्ण
20,उ.नि. महेश चन्द्र पाण्डेय,40+ मिक्स डबल्स,कांस्य
20,एच.ओ. अर्चना,40+ मिक्स डबल्स,कांस्य
21,आ. अरविन्द चौधरी,ओपन मिक्स डवल्स,स्वर्ण
21,म.आ. गुनगुन साहू    ,ओपन मिक्स डवल्स,स्वर्ण
22,मु.आ. राहुल चौधरी,ओपन मिक्स डवल्स,रजत
22,म.मु.आ. रोमी,ओपन मिक्स डवल्स,रजत
23,आ. विशाल राज,ओपन मिक्स डवल्स,कांस्य
23,म.आ. रानी सिंह  ,ओपन मिक्स डवल्स,कांस्य
24,मु.आ. राहुल चौधरी,ओपन डवल्स,स्वर्ण
24,आ. सुब्रत राज वर्मा,ओपन डवल्स,स्वर्ण
25,आ. अरविन्द चौधरी,ओपन डवल्स,रजत
25,आ. विशाल राज,ओपन डवल्स,रजत
26,म.आ. गुनगुन साहू    ,ओपन डवल्स,स्वर्ण
26,म.आ.श्रष्टि जायसवाल   ,ओपन डवल्स,स्वर्ण
27,आ. सुब्रत राज वर्मा,ओपन मिक्स डबल्स,कांस्य
27,म.आ.श्रष्टि जायसवाल,ओपन मिक्स डबल्स,कांस्य
ckLdsVcky,ckLdsVcky,ckLdsVcky,ckLdsVcky
1,ckLdsVcky efgyk Vhe,Vhe bosUV,dkaL;
lsid Vdjk,lsid Vdjk,lsid Vdjk,lsid Vdjk
1,lsid Vdjk efgyk,Vhe bosUV,dkaL;
2,lsid Vdjk iq:’k,DokM Li/kkZ,dkaL;
;ksxk,;ksxk,;ksxk,;ksxk
1,आ.राजकुमार बिन्द,18-28 पुरूष ट्रेडिस्नल,स्वर्ण
2,म.आ. सगुफा तोहिद,18-28 महिला पेयर,कांस्य
2,म.आ. सरिता चौधरी,18-28 महिला पेयर,कांस्य
3,आ. सुभम मिश्रा,18-28 पुरूष पेयर,कांस्य
3,आ. प्रदीप कुमार,18-28 पुरूष पेयर,कांस्य
4,मु.आ. किशन कुमार,28-35 पुरूष ट्रेडिस्नल,स्वर्ण
5,आ. ब्रजेश प्रधान,28-35 पुरूष पेयर,कांस्य
5,आ. रविन्द्र कुमार,28-35 पुरूष पेयर,कांस्य
5,,28-35 पुरूष पेयर,कांस्य
6,आ.राजीव कुमार,35-45 पुरूष पेयर,कांस्य
6,आ. कमल सिंह,35-45 पुरूष पेयर,कांस्य
7,मु.आ. सुमित,18-28 रिदमिक पेयर,कांस्य
7,आ. पंकज,18-28 रिदमिक पेयर,कांस्य
8,मु.आ. ब्रजेश प्रधान,28-35 रिदमिक पेयर,स्वर्ण
8,मु.आ. अनुराग मलिक,28-35 रिदमिक पेयर,स्वर्ण
9,आ. राजकुमार बिन्द,18-28 आरटिस्टिक सिंगल,कांस्य
10,मु.आ. किशन कुमार,18-35 आरटिस्टिक सिंगल,रजत
11,म.आ. सगुफा तोहीद,18-28 रिदमिक पेयर,रजत
11,म.आ. रोहिन त्यागी,18-28 रिदमिक पेयर,रजत
12,म.आ. रितू,28-35 रिदमिक पेयर,कांस्य
12,म.आ. मोनिका शुक्ला,28-35 रिदमिक पेयर,कांस्य
13,मु.आ. सुमित कुमार,18-28 आरटिस्टिक ग्रुप,स्वर्ण
13,आ. पंकज कुमार,18-28 आरटिस्टिक ग्रुप,स्वर्ण
13,आ. राजकुमार बिन्द,18-28 आरटिस्टिक ग्रुप,स्वर्ण
13,आ.प्रदीप कुमार,18-28 आरटिस्टिक ग्रुप,स्वर्ण
13,आ. सुभम कुमार,18-28 आरटिस्टिक ग्रुप,स्वर्ण
"23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24 
fnukad 2-03-2024 ls 08-03-2024 rd tEew d'ehj","23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24 
fnukad 2-03-2024 ls 08-03-2024 rd tEew d'ehj","23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24 
fnukad 2-03-2024 ls 08-03-2024 rd tEew d'ehj","23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24 
fnukad 2-03-2024 ls 08-03-2024 rd tEew d'ehj"
okVj LiksVZ~l,okVj LiksVZ~l,okVj LiksVZ~l,okVj LiksVZ~l
Ø0la0,in o uke,Li/kkZ,Iknd
1,आ. सत्यम बालियान ,क्याकिंग K-2 1000 मीटर,स्वर्ण
1,आ. बलवीर जाट,क्याकिंग K-2 1000 मीटर,स्वर्ण
2,आ. करनबीर सिंह भिन्डर,रोइंग डबल स्कल 1000 मीटर,स्वर्ण
2,आ. सोभित पाण्डेय,रोइंग डबल स्कल 1000 मीटर,स्वर्ण
3,आ.आदित्य सिंह ,रोइंग पेयर 1000 मीटर,कांस्य
3,आ.सुखदीप सिंह,रोइंग पेयर 1000 मीटर,कांस्य
4,आ. निखिल कुमार,रोइंग फोर 1000 मीटर,रजत
4,आ. सोयल,रोइंग फोर 1000 मीटर,रजत
4,आ. आदित्य सिंह,रोइंग फोर 1000 मीटर,रजत
4,आ. सुखदीप सिंह,रोइंग फोर 1000 मीटर,रजत
5,आ.सोभित पाण्डेय,रोइंग सिंगल स्कल 500 मीटर,रजत
6,आ. 232031780 आदित्य सिंह ,रोइंग पेयर 500 मीटर,स्वर्ण
6,आ. 232290343 सुखदीप सिंह,रोइंग पेयर 500 मीटर,स्वर्ण
7,आ. 232090372 सत्यम बालियान   ,क्याकिंग K-4 500 मीटर,रजत
7,आ. 234240496 विकास मौर्या     ,क्याकिंग K-4 500 मीटर,रजत
7,आ. 232010118 ­­बलवीर जाट ,क्याकिंग K-4 500 मीटर,रजत
7,आ. 190721163 c`teksgu,क्याकिंग K-4 500 मीटर,रजत
8,आ. 232290343 करनबीर सिंह भिन्डर,रोइंग डबल स्कल 500 मीटर,स्वर्ण
8,आ. लोकेश,रोइंग डबल स्कल 500 मीटर,स्वर्ण
9,आ. अभिमन्यू पटेल,क्याकिंग K-4 200 मीटर,रजत
9,आ. 232510908 महेन्द्र सिंह,क्याकिंग K-4 200 मीटर,रजत
9,आ. 232510227 सागर चौधरी ,क्याकिंग K-4 200 मीटर,रजत
9,आ. 232510937 हर्ष कुमार,क्याकिंग K-4 200 मीटर,रजत
,,,
,,,
"23oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023&24 
fnukad 17-03-2024 ls 22-03-2024 rd rsyaxkuk] gSnjkckn","23oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023&24 
fnukad 17-03-2024 ls 22-03-2024 rd rsyaxkuk] gSnjkckn","23oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023&24 
fnukad 17-03-2024 ls 22-03-2024 rd rsyaxkuk] gSnjkckn","23oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023&24 
fnukad 17-03-2024 ls 22-03-2024 rd rsyaxkuk] gSnjkckn"
cSMfeUVu,cSMfeUVu,cSMfeUVu,cSMfeUVu
Ø0la0,in o uke,Li/kkZ,Iknd
1,vkj{kh jktu ;kno,vksiu flaxYl iq:’k ,Lo.kZ
2,e-vkj{kh fleju pkS/kjh,efgyk vksiu flaxYl,Lo.kZ
3,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,vksiu feDl McYl,Lo.kZ
4,ihlh /khjsUnz dqekj ik.Ms; o m-fu- mes'kpUnz iVsy,osVju izfr;ksfxrk 50$ McYl,jtr 
5,ihlh /khjsUnz dqekj ik.Ms;,osVju izfr;ksfxrk 50$ iq:’k flaxYl,jtr 
6,e-vkj{kh fjpk ;kno,f}rh; vksiu flaxYl,dkaL; 
7,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,vksiu McYl iq:’k,dkaL;
8,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,efgyk vksiu McYl,dkaL;
,,,
"25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25
fnukad 15-06-2024 ls 20-06-2024 rd Vªsfuax ls.Vj vksFkhoDde] rfeyukMw","25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25
fnukad 15-06-2024 ls 20-06-2024 rd Vªsfuax ls.Vj vksFkhoDde] rfeyukMw","25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25
fnukad 15-06-2024 ls 20-06-2024 rd Vªsfuax ls.Vj vksFkhoDde] rfeyukMw","25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25
fnukad 15-06-2024 ls 20-06-2024 rd Vªsfuax ls.Vj vksFkhoDde] rfeyukMw"
 'kwfVax, 'kwfVax, 'kwfVax, 'kwfVax
Ø0la0,in o uke,Li/kkZ,Iknd
1,efgyk vk- ljkst,300 xt jkbQy LuSi 'kwfVax,Lo.kZ
,,,
"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke","09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke","09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke","09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke"
oq'kw,oq'kw,oq'kw,oq'kw
Ø0la0,in o uke,Li/kkZ,Iknd
1,e-vk- fiz;adk,rkmyw,xksYM
2,vk- eksfgr Fkkik,rkmyw,jtr
3,e-vk- izhrh,56fdxzk-,jtr
4,vkj{kh fufru pkS/kjh,65fdxzk,jtr
5,vkj{kh fpUVw ukxj,$90fdxzk-,Lo.kZ
6,vkj{kh lwjt ;kno,70fdxzk,dkaL;
7,e-vk- gqek [kku,48fdxzk-,dkaL;
8,e-vk- izsj.kk,60fdxzk-,dkaL;
9,e-vk- Jqfr ljoS;k,65fdxzk,dkaL;
10,vk- fodkl lgjkor lkekU;,85fdxzk-,dkaL;
rkbZDok.Mks,rkbZDok.Mks,rkbZDok.Mks,rkbZDok.Mks
Ø0la0,in o uke,Li/kkZ,Iknd
1,vk- lquhy ¼thMh½,87$,dkaL;
2,vk- lksuw ckfy;ku ¼thMh½,74,dkaL;
3,e-vk- iwtk,62,Lo.kZ
4,e-vk- vuh'kk,53,Lo.kZ
5,e-vk- fj;k dukSft;k,46,jtr
6,e-vk- lhek dukSft;k,49fdxzk-,Lo.kZ
7,e-vk- _f’krk jk;,57fdxzk-,jtr
8,vk- nsokax 'kekZ,63fdxzk-,dkaL;
9,e-vk- [kq'kcw ;kno,73fdxzk-,Lo.kZ
10,e-vk- e/kw flag,67fdxz-,Lo.kZ
11,"vk- _f""k jk;",68fdxz-,Lo.kZ
twMks,twMks,twMks,twMks
Ø0la0,in o uke,Li/kkZ,Iknd
1,e-vk- vfLerk Ms,48fdxzk-,Lo.kZ
2,vkj{kh fo'kky pkSgku,90fdxzk-,dkaL;
3,vkj{kh lquhy,$100fdxz-,Lo.kZ
isapd flykV,isapd flykV,isapd flykV,isapd flykV
Ø0la0,in o uke,Li/kkZ,Iknd
1,e-vk- 'khry prqosZnh,45 fdxzk-,Lo.kZ
2,e-vk- T;ksfr,55 fdxzk-,jtr
3,vk- Ekukst dqekj,90 fdxzk-,jtr
4,vk- nhid,85 fdxzk-,dkaL;
5,vk- vfer,80 fdxzk-,dkaL;
6,vk- fxj/kkjhyky,50 fdxzk-,dkaL;
7,vk- uohu,45 fdxzk-,dkaL;
8,e-vk- fiz;k flag,60 fdxzk-,dkaL;
9,vk- lqjsUnz,55 fdxzk-,dkaL;
,,,
Ø0la0,in o uke,Li/kkZ,Iknd
1,,,
